name                    	time	value	rate	unit	path
"D90"                               	0.000	-3.00000000	NA	"cm"	"//maize1"
"carbonAllocation2Roots"            	0.000	0.00000000	0.00233355	"g"	"//maize1"
"carbonAllocation2Shoot"            	0.000	0.00000000	0.00000000	"g"	"//maize1"
"carbonAvailableForGrowth"          	0.000	0.00000000	0.00233355	"g"	"//maize1"
"carbonReserves"                    	0.000	0.00000000	0.00000000	"g"	"//maize1"
"nutrientStressFactor"              	0.000	1.00000000	0.00000000	"100%"	"//maize1/nitrate"
"plantMinimalNutrientContent"       	0.000	0.00000000	NA	"umol"	"//maize1/nitrate"
"plantNutrientFixation"             	0.000	0.00000000	0.00000000	"umol"	"//maize1/nitrate"
"plantNutrientUptake"               	0.000	285.00000000	0.00000000	"umol"	"//maize1/nitrate"
"plantOptimalNutrientContent"       	0.000	0.00000000	NA	"umol"	"//maize1/nitrate"
"rootsBelowD90ForNutrient"          	0.000	0.00000000	NA	"cm"	"//maize1/nitrate"
"plantCarbonBalance"                	0.000	0.00000000	NA	"g"	"//maize1"
"plantCarbonIncome"                 	0.000	0.00000000	0.00233355	"g"	"//maize1"
"plantDryWeight"                    	0.000	0.00000000	NA	"g"	"//maize1"
"carbonAllocation2Leafs"            	0.000	0.00000000	0.00000000	"g"	"//maize1/plantPosition/shoot"
"carbonAllocation2Stems"            	0.000	0.00000000	0.00000000	"g"	"//maize1/plantPosition/shoot"
"leafArea"                          	0.000	0.00000000	0.00000000	"cm2"	"//maize1/plantPosition/shoot"
"leafAreaIndex"                     	0.000	0.00000000	NA	"cm2/cm2"	"//maize1/plantPosition/shoot"
"leafAreaReductionCoefficient"      	0.000	1.00000000	NA	"cm2/cm2"	"//maize1/plantPosition/shoot"
"leafDryWeight"                     	0.000	0.00000000	0.00000000	"g"	"//maize1/plantPosition/shoot"
"leafPotentialCarbonSinkForGrowth"  	0.000	0.00000000	0.00000000	"g"	"//maize1/plantPosition/shoot"
"leafRespiration"                   	0.000	0.00000000	0.00000000	"g"	"//maize1/plantPosition/shoot"
"lightInterception"                 	0.000	0.00000000	NA	"umol/cm2/day"	"//maize1/plantPosition/shoot"
"photosynthesis"                    	0.000	0.00000000	0.00000000	"g"	"//maize1/plantPosition/shoot"
"potentialLeafArea"                 	0.000	0.00000000	0.00000000	"cm2"	"//maize1/plantPosition/shoot"
"potentialTranspiration"            	0.000	0.00000000	0.00000000	"cm3"	"//maize1/plantPosition/shoot"
"relativeCarbonAllocation2Leafs"    	0.000	1.00000000	NA	"100%"	"//maize1/plantPosition/shoot"
"relativeCarbonAllocation2Stems"    	0.000	0.00000000	NA	"100%"	"//maize1/plantPosition/shoot"
"stemDryWeight"                     	0.000	0.00000000	0.00000000	"g"	"//maize1/plantPosition/shoot"
"stemPotentialCarbonSinkForGrowth"  	0.000	0.00000000	0.00000000	"g"	"//maize1/plantPosition/shoot"
"stemRespiration"                   	0.000	0.00000000	0.00000000	"g"	"//maize1/plantPosition/shoot"
"stressAdjustedPotentialLeafArea"   	0.000	0.00000000	0.00000000	"cm2"	"//maize1/plantPosition/shoot"
"plantPotentialCarbonSinkForGrowth" 	0.000	0.00000000	0.00233355	"g"	"//maize1"
"plantRespiration"                  	0.000	0.00000000	0.00000000	"g"	"//maize1"
"relativeCarbonAllocation2Roots"    	0.000	1.00000000	NA	"100%"	"//maize1"
"relativeCarbonAllocation2Shoot"    	0.000	0.00000000	NA	"100%"	"//maize1"
"reserves"                          	0.000	0.15000000	-0.00518568	"g"	"//maize1"
"rootCarbonCostOfBiologicalNitrogenFixation"	0.000	0.00000000	0.00000000	"g"	"//maize1"
"rootCarbonCostOfExudates"          	0.000	0.00000000	0.00000000	"g"	"//maize1"
"rootCarbonCostOfNutrientUptake"    	0.000	0.00000000	0.00000000	"g"	"//maize1"
"rootCarbonCosts"                   	0.000	0.00000000	0.00000000	"g"	"//maize1"
"rootDryWeight"                     	0.000	0.00000000	NA	"g"	"//maize1"
"rootGrowthScalingFactor"           	0.000	1.00000000	0.00000000	"100%"	"//maize1"
"rootGrowthScalingFactor;majorAxis" 	0.000	1.00000000	0.00000000	"100%"	"//maize1"
"rootLength"                        	0.000	0.00000000	NA	"cm"	"//maize1"
"rootLongitudinalGrowth"            	0.000	0.00000000	5.50000000	"cm"	"//maize1"
"rootPotentialCarbonSinkForGrowth"  	0.000	0.00000000	0.00233355	"g"	"//maize1"
"rootPotentialCarbonSinkForGrowth;majorAxis"	0.000	0.00000000	0.00233355	"g"	"//maize1"
"rootRespiration"                   	0.000	0.00000000	0.00000000	"g"	"//maize1"
"rootSecondaryPotentialCarbonSinkForGrowth"	0.000	0.00000000	0.00000000	"g"	"//maize1"
"rootSurfaceArea"                   	0.000	0.00000000	NA	"cm2"	"//maize1"
"rootVolume"                        	0.000	0.00000000	NA	"cm3"	"//maize1"
"rootWaterUptake"                   	0.000	0.00000000	0.00000000	"cm3"	"//maize1"
"secondaryRootGrowthScalingFactor"  	0.000	1.00000000	0.00000000	"100%"	"//maize1"
"shootDryWeight"                    	0.000	0.00000000	NA	"g"	"//maize1"
"shootPotentialCarbonSinkForGrowth" 	0.000	0.00000000	0.00000000	"g"	"//maize1"
"shootRespiration"                  	0.000	0.00000000	0.00000000	"g"	"//maize1"
"stressFactor"                      	0.000	1.00000000	NA	"noUnit"	"//maize1"
"D90"                               	0.000	-3.00000000	NA	"cm"	"//maize2"
"carbonAllocation2Roots"            	0.000	0.00000000	0.00233355	"g"	"//maize2"
"carbonAllocation2Shoot"            	0.000	0.00000000	0.00000000	"g"	"//maize2"
"carbonAvailableForGrowth"          	0.000	0.00000000	0.00233355	"g"	"//maize2"
"carbonReserves"                    	0.000	0.00000000	0.00000000	"g"	"//maize2"
"nutrientStressFactor"              	0.000	1.00000000	0.00000000	"100%"	"//maize2/nitrate"
"plantMinimalNutrientContent"       	0.000	0.00000000	NA	"umol"	"//maize2/nitrate"
"plantNutrientFixation"             	0.000	0.00000000	0.00000000	"umol"	"//maize2/nitrate"
"plantNutrientUptake"               	0.000	285.00000000	0.00000000	"umol"	"//maize2/nitrate"
"plantOptimalNutrientContent"       	0.000	0.00000000	NA	"umol"	"//maize2/nitrate"
"rootsBelowD90ForNutrient"          	0.000	0.00000000	NA	"cm"	"//maize2/nitrate"
"plantCarbonBalance"                	0.000	0.00000000	NA	"g"	"//maize2"
"plantCarbonIncome"                 	0.000	0.00000000	0.00233355	"g"	"//maize2"
"plantDryWeight"                    	0.000	0.00000000	NA	"g"	"//maize2"
"carbonAllocation2Leafs"            	0.000	0.00000000	0.00000000	"g"	"//maize2/plantPosition/shoot"
"carbonAllocation2Stems"            	0.000	0.00000000	0.00000000	"g"	"//maize2/plantPosition/shoot"
"leafArea"                          	0.000	0.00000000	0.00000000	"cm2"	"//maize2/plantPosition/shoot"
"leafAreaIndex"                     	0.000	0.00000000	NA	"cm2/cm2"	"//maize2/plantPosition/shoot"
"leafAreaReductionCoefficient"      	0.000	1.00000000	NA	"cm2/cm2"	"//maize2/plantPosition/shoot"
"leafDryWeight"                     	0.000	0.00000000	0.00000000	"g"	"//maize2/plantPosition/shoot"
"leafPotentialCarbonSinkForGrowth"  	0.000	0.00000000	0.00000000	"g"	"//maize2/plantPosition/shoot"
"leafRespiration"                   	0.000	0.00000000	0.00000000	"g"	"//maize2/plantPosition/shoot"
"lightInterception"                 	0.000	0.00000000	NA	"umol/cm2/day"	"//maize2/plantPosition/shoot"
"photosynthesis"                    	0.000	0.00000000	0.00000000	"g"	"//maize2/plantPosition/shoot"
"potentialLeafArea"                 	0.000	0.00000000	0.00000000	"cm2"	"//maize2/plantPosition/shoot"
"potentialTranspiration"            	0.000	0.00000000	0.00000000	"cm3"	"//maize2/plantPosition/shoot"
"relativeCarbonAllocation2Leafs"    	0.000	1.00000000	NA	"100%"	"//maize2/plantPosition/shoot"
"relativeCarbonAllocation2Stems"    	0.000	0.00000000	NA	"100%"	"//maize2/plantPosition/shoot"
"stemDryWeight"                     	0.000	0.00000000	0.00000000	"g"	"//maize2/plantPosition/shoot"
"stemPotentialCarbonSinkForGrowth"  	0.000	0.00000000	0.00000000	"g"	"//maize2/plantPosition/shoot"
